Active season,Player,Team,Conference,Date,Position,Height,Weight,Age,Draft Year,Seasons in league,Season,Season short,Real_value
0,Micheal Ray Richardson,New Jersey Nets,,14-Apr-85,PG,5-Jun,189,29,1978,6,1984-1985,1985,1
0,Derek Smith,Los Angeles Clippers,,7-Apr-85,SG,6-Jun,205,23,1982,2,1984-1985,1985,1
0,Calvin Natt,Denver Nuggets,,1-Apr-85,F,6-Jun,220,28,1979,5,1984-1985,1985,1
0,Kareem Abdul-Jabbar,Los Angeles Lakers,,24-Mar-85,C,2-Jul,225,37,1969,15,1984-1985,1985,1
0,Larry Bird,Boston Celtics,,17-Mar-85,SF,9-Jun,220,28,1978,5,1984-1985,1985,1
0,Darrell Griffith,Utah Jazz,,10-Mar-85,SG,4-Jun,190,26,1980,4,1984-1985,1985,1
0,Sleepy Floyd,Golden State Warriors,,3-Mar-85,PG,3-Jun,170,24,1982,2,1984-1985,1985,1
0,Mark Aguirre,Dallas Mavericks,,24-Feb-85,SF,6-Jun,232,25,1981,3,1984-1985,1985,1
0,Magic Johnson,Los Angeles Lakers,,17-Feb-85,PG,9-Jun,255,25,1979,5,1984-1985,1985,1
0,Dominique Wilkins,Atlanta Hawks,,3-Feb-85,SF,7-Jun,200,25,1982,2,1984-1985,1985,1
0,Tom McMillen,Washington Bullets,,27-Jan-85,PF,11-Jun,215,32,1974,9,1984-1985,1985,1
0,Michael Jordan,Chicago Bulls,,20-Jan-85,SG,6-Jun,215,22,1984,0,1984-1985,1985,1
0,World B. Free,Cleveland Cavaliers,,13-Jan-85,G,2-Jun,185,31,1975,9,1984-1985,1985,1
0,Isiah Thomas,Detroit Pistons,,6-Jan-85,PG,1-Jun,180,23,1981,3,1984-1985,1985,1
0,Micheal Ray Richardson,New Jersey Nets,,30-Dec-84,PG,5-Jun,189,29,1978,6,1984-1985,1985,1
0,Terry Cummings,Milwaukee Bucks,,23-Dec-84,PF,9-Jun,220,23,1982,2,1984-1985,1985,1
0,Derek Smith,Los Angeles Clippers,,16-Dec-84,SG,6-Jun,205,23,1982,2,1984-1985,1985,1
0,Orlando Woolridge,Chicago Bulls,,9-Dec-84,PF,9-Jun,215,25,1981,3,1984-1985,1985,1
0,Jack Sikma,Seattle SuperSonics,,2-Dec-84,C,11-Jun,230,29,1977,7,1984-1985,1985,1
0,Bernard King,New York Knicks,,25-Nov-84,SF,7-Jun,205,28,1977,7,1984-1985,1985,1
0,Moses Malone,Philadelphia Sixers,,18-Nov-84,C,10-Jun,215,29,1976,8,1984-1985,1985,1
0,Alex English,Denver Nuggets,,11-Nov-84,SF,7-Jun,190,31,1976,8,1984-1985,1985,1
0,Larry Nance,Phoenix Suns,,4-Nov-84,PF,10-Jun,205,26,1981,3,1984-1985,1985,1
0,Dominique Wilkins,Atlanta Hawks,,13-Apr-86,SF,7-Jun,200,26,1982,3,1985-1986,1986,1
0,Herb Williams,Indiana Pacers,,6-Apr-86,C,10-Jun,242,28,1981,4,1985-1986,1986,1
0,Charles Barkley,Philadelphia Sixers,,30-Mar-86,PF,6-Jun,252,23,1984,1,1985-1986,1986,1
0,Adrian Dantley,Utah Jazz,,23-Mar-86,SF,5-Jun,208,30,1976,9,1985-1986,1986,1
0,Larry Bird,Boston Celtics,,16-Mar-86,SF,9-Jun,220,29,1978,6,1985-1986,1986,1
0,Magic Johnson,Los Angeles Lakers,,9-Mar-86,PG,9-Jun,255,26,1979,6,1985-1986,1986,1
0,Charles Barkley,Philadelphia Sixers,,2-Mar-86,PF,6-Jun,252,23,1984,1,1985-1986,1986,1
0,Sidney Moncrief,Milwaukee Bucks,,23-Feb-86,SG,3-Jun,180,28,1979,6,1985-1986,1986,1
0,Larry Bird,Boston Celtics,,16-Feb-86,SF,9-Jun,220,29,1978,6,1985-1986,1986,1
0,Alex English,Denver Nuggets,,2-Feb-86,SF,7-Jun,190,32,1976,9,1985-1986,1986,1
0,Charles Barkley,Philadelphia Sixers,,26-Jan-86,PF,6-Jun,252,23,1984,1,1985-1986,1986,1
0,Larry Bird,Boston Celtics,,19-Jan-86,SF,9-Jun,220,29,1978,6,1985-1986,1986,1
0,Calvin Natt,Denver Nuggets,,12-Jan-86,F,6-Jun,220,29,1979,6,1985-1986,1986,1
0,Clyde Drexler,Portland Trail Blazers,,5-Jan-86,SG,7-Jun,210,23,1983,2,1985-1986,1986,1
0,Dominique Wilkins,Atlanta Hawks,,29-Dec-85,SF,7-Jun,200,26,1982,3,1985-1986,1986,1
0,Larry Nance,Phoenix Suns,,22-Dec-85,PF,10-Jun,205,27,1981,4,1985-1986,1986,1
0,Alvin Robertson,San Antonio Spurs,,15-Dec-85,SG,3-Jun,185,23,1984,1,1985-1986,1986,1
0,Jeff Ruland,Washington Bullets,,8-Dec-85,C,10-Jun,240,27,1980,4,1985-1986,1986,1
0,Larry Bird,Boston Celtics,,1-Dec-85,SF,9-Jun,220,29,1978,6,1985-1986,1986,1
0,Alex English,Denver Nuggets,,24-Nov-85,SF,7-Jun,190,32,1976,9,1985-1986,1986,1
0,Patrick Ewing,New York Knicks,,17-Nov-85,C,Jul-00,240,23,1985,0,1985-1986,1986,1
0,Buck Williams,New Jersey Nets,,10-Nov-85,PF,8-Jun,215,25,1981,4,1985-1986,1986,1
0,Derek Smith,Los Angeles Clippers,,3-Nov-85,SG,6-Jun,205,24,1982,3,1985-1986,1986,1
0,Julius Erving,Philadelphia Sixers,,19-Apr-87,SF,6-Jun,200,37,1972,14,1986-1987,1987,1
0,Michael Jordan,Chicago Bulls,,12-Apr-87,SG,6-Jun,215,24,1984,2,1986-1987,1987,1
0,Magic Johnson,Los Angeles Lakers,,5-Apr-87,PG,9-Jun,255,27,1979,7,1986-1987,1987,1
0,Larry Smith,Golden State Warriors,,29-Mar-87,PF,8-Jun,215,29,1980,6,1986-1987,1987,1
0,Magic Johnson,Los Angeles Lakers,,22-Mar-87,PG,9-Jun,255,27,1979,7,1986-1987,1987,1
0,Karl Malone,Utah Jazz,,15-Mar-87,PF,9-Jun,265,23,1985,1,1986-1987,1987,1
0,Magic Johnson,Los Angeles Lakers,,8-Mar-87,PG,9-Jun,255,27,1979,7,1986-1987,1987,1
0,Michael Jordan,Chicago Bulls,,1-Mar-87,SG,6-Jun,215,24,1984,2,1986-1987,1987,1
